25
11.5,7.5
16.0,12.5
16.5,13.5
24.5,15.0
3.5,6.0
1.0,8.5
23.0,4.5
20.5,20.5
5.5,15.5
5.5,20.5
11.5,11.0
22.5,9.0
3.5,19.0
3.0,2.5
11.0,13.5
18.5,9.5
8.0,22.5
23.5,3.5
24.0,6.0
15.0,24.5
18.0,1.0
10.5,1.5
2.5,6.5
15.5,20.5
22.0,19.5
15.5,23.5
18.0,17.5
16.5,14.5
13.0,2.5
21.5,10.5
2.0,12.0
20.5,9.5
10.5,6.5
4.5,17.5
10.0,9.5
13.0,13.0
20.5,13.5
7.5,4.0
2.0,4.5
15.5,7.0
6.0,6.0
5.0,3.0
11.5,23.5
6.5,24.0
5.0,11.0
15.5,2.5
22.5,24.0
9.0,12.5
4.5,5.0
20.5,24.5
23.5,24.0
13.0,22.0
6.5,4.5
10.5,2.5
0.5,7.0
18.5,15.0
5.5,16.5
24.5,8.5
6.5,19.5
9.5,21.0
22.5,18.5
20.0,7.0
0.5,0.5
0.5,1.5
0.5,2.5
0.5,5.5
0.5,13.5
0.5,15.5
0.5,18.5
0.5,19.5
0.5,20.5
0.5,21.5
0.5,22.5
0.5,23.5
0.5,24.5
1.5,0.5
1.5,1.5
1.5,2.5
1.5,18.5
1.5,19.5
1.5,20.5
1.5,21.5
1.5,22.5
1.5,23.5
1.5,24.5
2.5,0.5
2.5,1.5
2.5,20.5
2.5,21.5
2.5,22.5
2.5,23.5
2.5,24.5
3.5,0.5
3.5,14.5
3.5,20.5
3.5,21.5
3.5,22.5
3.5,23.5
3.5,24.5
4.5,0.5
4.5,6.5
4.5,20.5
4.5,21.5
4.5,22.5
4.5,23.5
4.5,24.5
6.5,0.5
6.5,1.5
6.5,12.5
6.5,14.5
6.5,22.5
7.5,0.5
7.5,1.5
7.5,11.5
7.5,12.5
7.5,14.5
7.5,18.5
7.5,19.5
8.5,0.5
8.5,3.5
8.5,5.5
8.5,8.5
8.5,9.5
8.5,14.5
9.5,0.5
9.5,3.5
9.5,4.5
9.5,5.5
9.5,14.5
9.5,24.5
10.5,0.5
10.5,3.5
10.5,4.5
10.5,5.5
10.5,24.5
11.5,0.5
11.5,5.5
11.5,16.5
11.5,20.5
12.5,20.5
13.5,3.5
13.5,15.5
13.5,16.5
13.5,20.5
14.5,11.5
14.5,21.5
15.5,3.5
15.5,4.5
15.5,16.5
16.5,3.5
16.5,15.5
16.5,16.5
16.5,22.5
17.5,2.5
17.5,3.5
17.5,4.5
17.5,5.5
17.5,6.5
18.5,2.5
18.5,3.5
18.5,4.5
18.5,5.5
18.5,22.5
18.5,23.5
18.5,24.5
19.5,2.5
19.5,3.5
19.5,4.5
19.5,5.5
20.5,2.5
20.5,3.5
20.5,4.5
20.5,16.5
21.5,0.5
21.5,1.5
21.5,2.5
21.5,3.5
21.5,12.5
21.5,15.5
21.5,21.5
22.5,0.5
22.5,1.5
22.5,2.5
22.5,13.5
22.5,14.5
22.5,15.5
22.5,16.5
22.5,22.5
23.5,0.5
23.5,1.5
23.5,2.5
23.5,7.5
23.5,8.5
23.5,10.5
23.5,13.5
23.5,14.5
23.5,15.5
23.5,22.5
24.5,0.5
24.5,1.5
24.5,2.5
24.5,10.5
24.5,11.5
24.5,21.5
24.5,22.5
24.5,23.5
24.5,24.5
